PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"41398566","O-CCR: oriented cervical canal region detection framework toward cervical change assessment in transvaginal ultrasound","Hwangbo M, Jeon YE, Lee KN, Lee KY, Lee JJ, Son GH, Won DO.","BMC Med Imaging. 2025 Dec 16;26(1):41. doi: 10.1186/s12880-025-02056-7.","Hwangbo M","BMC Med Imaging","2025","2025/12/16","PMC12822244","","10.1186/s12880-025-02056-7"
"35919049","Automatic evaluation of endometrial receptivity in three-dimensional transvaginal ultrasound images based on 3D U-Net segmentation","Wang X, Bao N, Xin X, Tan J, Li H, Zhou S, Liu H.","Quant Imaging Med Surg. 2022 Aug;12(8):4095-4108. doi: 10.21037/qims-21-1155.","Wang X","Quant Imaging Med Surg","2022","2022/08/03","PMC9338380","","10.21037/qims-21-1155"
"40995438","Development of a Novel Machine Learning Model for Automatic Assessment of Quality of Transvaginal Ultrasound Images From Multi-Annotator Labels","Deslandes A, Petashvili D, Wang H, Carnerio G, Avery J, Condous G, Leonardi M, Hull ML, Chen HT.","Australas J Ultrasound Med. 2025 Sep 22;28(4):e70026. doi: 10.1002/ajum.70026. eCollection 2025 Nov.","Deslandes A","Australas J Ultrasound Med","2025","2025/09/25","PMC12454678","","10.1002/ajum.70026"
"40472422","Unpaired multi-modal training and single-modal testing for detecting signs of endometriosis","Zhang Y, Wang H, Butler D, Smart B, Xie Y, To MS, Knox S, Condous G, Leonardi M, Avery JC, Hull ML, Carneiro G.","Comput Med Imaging Graph. 2025 Sep;124:102575. doi: 10.1016/j.compmedimag.2025.102575. Epub 2025 May 29.","Zhang Y","Comput Med Imaging Graph","2025","2025/06/05","","","10.1016/j.compmedimag.2025.102575"
"15484439","A novel algorithm for computer-assisted measurement of cervical length from transvaginal ultrasound images","Wu M, Fraser RF, Chen CW.","IEEE Trans Inf Technol Biomed. 2004 Sep;8(3):333-42. doi: 10.1109/titb.2004.832548.","Wu M","IEEE Trans Inf Technol Biomed","2004","2004/10/16","","","10.1109/titb.2004.832548"
"39227235","A Novel Ultrasound-Based Radiomics Model for the Preoperative Prediction of Lymph Node Metastasis in Cervical Cancer","Yang X, Wang Y, Zhang J, Yang J, Xu F, Liu Y, Zhang C.","Ultrasound Med Biol. 2024 Dec;50(12):1793-1799. doi: 10.1016/j.ultrasmedbio.2024.07.013. Epub 2024 Sep 3.","Yang X","Ultrasound Med Biol","2024","2024/09/03","","","10.1016/j.ultrasmedbio.2024.07.013"
"40612584","Perspectives in transvaginal sonography for the diagnosis of adenomyosis","An XL, Zhang J, Yun XC, Lei XH, Zhao J, Yang XH, Liu MM.","Front Med (Lausanne). 2025 Jun 19;12:1533648. doi: 10.3389/fmed.2025.1533648. eCollection 2025.","An XL","Front Med (Lausanne)","2025","2025/07/04","PMC12224653","","10.3389/fmed.2025.1533648"
"41261003","Clinical Application of an AI-Driven Framework for Accurate Endometrial Thickness Measurement in Transvaginal Ultrasound","Wu YB, Ni QY, Chen JQ, Xu JH, Li BH, Lin HT, Sui H, Jiang CM, He JJ, Kang HF, Lu M, Ni D, Yang X, Cai XR.","Ultrasound Med Biol. 2026 Feb;52(2):295-304. doi: 10.1016/j.ultrasmedbio.2025.08.013. Epub 2025 Nov 19.","Wu YB","Ultrasound Med Biol","2026","2025/11/19","","","10.1016/j.ultrasmedbio.2025.08.013"
"39729620","Preoperative surgical planning MRI for fibroids: What the surgeon needs to know and what to report","Acton J.","J Med Imaging Radiat Oncol. 2024 Dec 27. doi: 10.1111/1754-9485.13816. Online ahead of print.","Acton J","J Med Imaging Radiat Oncol","2024","2024/12/27","","","10.1111/1754-9485.13816"
"41422854","Recent advances in the early detection of ovarian cancer","Soleimani A, Amirfiroozy A, Pourseif MM, Khaniani MS.","Clin Chim Acta. 2026 Feb 15;582:120797. doi: 10.1016/j.cca.2025.120797. Epub 2025 Dec 19.","Soleimani A","Clin Chim Acta","2026","2025/12/21","","","10.1016/j.cca.2025.120797"
"40884105","Clinical Radiomics Nomogram Based on Ultrasound: A Tool for Preoperative Prediction of Uterine Sarcoma","Zheng W, Lu A, Tang X, Chen L.","J Ultrasound Med. 2026 Jan;45(1):129-143. doi: 10.1002/jum.70043. Epub 2025 Aug 30.","Zheng W","J Ultrasound Med","2026","2025/08/30","","","10.1002/jum.70043"
"41024607","Development of a High-Performance Ultrasound Prediction Model for the Diagnosis of Endometrial Cancer: An Interpretable XGBoost Algorithm Utilizing SHAP Analysis","Lai H, Wu Q, Weng Z, Lyu G, Yang W, Ye F.","J Ultrasound Med. 2026 Mar;45(3):511-528. doi: 10.1002/jum.70082. Epub 2025 Sep 29.","Lai H","J Ultrasound Med","2026","2025/09/30","","","10.1002/jum.70082"
"41192134","Cervical texture analysis in mid-trimester scan to predict spontaneous preterm birth: A case-control study","Iratxe GG, Amaia AA, Ana DCR, Eva Irene RR, Inmaculada GO, Karen LR, Jorge BSC.","Eur J Obstet Gynecol Reprod Biol. 2026 Jan;316:114807. doi: 10.1016/j.ejogrb.2025.114807. Epub 2025 Oct 31.","Iratxe GG","Eur J Obstet Gynecol Reprod Biol","2026","2025/11/05","","","10.1016/j.ejogrb.2025.114807"
"41242925","AI-assisted 3D-printed transvaginal template guidance for interstitial brachytherapy in patients with cervical cancer with parametrial invasion","Li H, Li X, Zhang J, Dai Y, Lin H, Xie X, Yang M.","Brachytherapy. 2026 Jan-Feb;25(1):95-106. doi: 10.1016/j.brachy.2025.10.011. Epub 2025 Nov 16.","Li H","Brachytherapy","2026","2025/11/16","","","10.1016/j.brachy.2025.10.011"
