Title,Author/s,DOI,Publication Year,External URL
multi-modal uterine-activity measurements for prediction of embryo implantation by machine learning,F. Sammali; C. Blank; Tom G. H. Bakkes; Y. Huang; Chiara Rabotti; Benedictus C. Schoot; Massimo Mischi,10.1109/access.2021.3067716,2021.0,http://dx.doi.org/10.1109/access.2021.3067716
multi-modal uterine-activity measurements for prediction of embryo implantation by machine learning,F. Sammali; C. Blank; T. G. H. Bakkes; Y. Huang; C. Rabotti; B. C. Schoot; M. Mischi,10.1109/ACCESS.2021.3067716,2021.0,
optimizing evaluation of endometrial receptivity in recurrent pregnancy loss: a preliminary investigation integrating radiomics from multimodal ultrasound via machine learning.,Shanling Yan; Fei Xiong; Yanfen Xin; Zhuyu Zhou; Wanqing Liu,10.3389/fendo.2024.1380829,2024.0,http://dx.doi.org/10.3389/fendo.2024.1380829
prediction of uterine cavity conception environment using two-dimensional transvaginal ultrasound imaging semantic feature-based machine learning: a case-control study.,Jinwei Zhang; Shuang Liu; Yue Rong; Shangqing Liu; Chunyan Zhong; Peng Tu; Xiaohang Zhang; Suzhen Ran,10.1186/s12884-025-08390-6,2025.0,http://dx.doi.org/10.1186/s12884-025-08390-6
preoperative surgical planning mri for fibroids: what the surgeon needs to know and what to report.,Jade Acton,10.1111/1754-9485.13816,2024.0,http://dx.doi.org/10.1111/1754-9485.13816
the increasing role of ultrasound in ob-gyn practice: present and future applications,Lara Marie David Bustamante,10.4103/pjog.pjog_74_23,2023.0,http://dx.doi.org/10.4103/pjog.pjog_74_23
transvaginal ultrasound: a reliable tool for detection and preoperative mapping of pelvic endometriosis.,Anuradha S Shenoy-Bhangle; Priyanka Jha,10.1016/j.fertnstert.2023.12.035,2023.0,http://dx.doi.org/10.1016/j.fertnstert.2023.12.035
vp03.02: a machine learning approach applied to gynecological ultrasound to predict progression-free survival in ovarian cancer patients,Francesca Arezzo; Vera Loizzi; Claudio Lombardi; Gerardo Cazzato; Vincenzo Venerito; V Cataldo; M Mongelli; Ettore Cicinelli; Gennaro Cormio; CM Santarsiero,10.1002/uog.24046,2021.0,http://dx.doi.org/10.1002/uog.24046
vp59.44: machine learning to diagnose rectouterine pouch obliteration with the sliding sign on transvaginal ultrasound: a prospective study,Mathew Leonardi; G. Macais; Jodie C Avery; C. Panuccio; Gustavo Carneiro; M.L. Hull; George Condous,10.1002/uog.23327,2020.0,http://dx.doi.org/10.1002/uog.23327
vp62.06: abstract withdrawn,I. Pelayo; J. Sancho; E. Cabezas; Belén Perez‐Mies; E Moratalla Bartolomé; C. del‐Valle‐Rubido; L.I. Abarca; José Luis Lázaro Galilea,10.1002/uog.23367,2020.0,http://dx.doi.org/10.1002/uog.23367
vp66.24: the adoption of radiomics and machine learning improves the diagnostic processes of women with ovarian masses (aroma study),V. Chiappa; G. Bogani; F. Bertolina; M. Interlenghi; C. Salvatore; M. Signorelli; I. Castiglioni; F. Raspagliesi,10.1002/uog.23482,2020.0,http://dx.doi.org/10.1002/uog.23482
vp66.25: triaging women with abnormal uterine bleeding in ambulatory care: results from the prospective ieta-1 cohort study,Jan Y Verbakel; Laure Wynants; R. Heremans; Lil Valentin; B. De Cock; Maria Angela Pascual; F. P. G. Leone; Povilas Sladkevicius; J. L. Alcazar; C. Van Pachterbeke; L. Jokubkiene; Elisabeth Epstein; Robert Fruscio; Tom Bourne; B. Van Calster; D. Timmerman; T. Van den Bosch,10.1002/uog.23483,2020.0,http://dx.doi.org/10.1002/uog.23483
