Title,Author/s,DOI,External URL,include,reason
bidirectional copy-paste mamba for enhanced semi-supervised segmentation of transvaginal uterine ultrasound images.,Boyuan Peng; Yiyang Liu; Wenwen Wang; Qin Zhou; Li Fang; Xin Zhu,10.3390/diagnostics14131423,http://dx.doi.org/10.3390/diagnostics14131423,yes,
cesarean scar pregnancy prognostic classification system based on machine-learning and traditional linear scoring models.,Xin Wang; Liyuan Ma; Siting Peng; Yuqing Yang; Jihao Wu; Na Su; Zhenhong Qi; Xinyan Liu; Qing Dai; Jianchu Li; Zhenzhen Liu,10.1002/jum.16688,http://dx.doi.org/10.1002/jum.16688,,
clinical radiomics nomogram based on ultrasound: a tool for preoperative prediction of uterine sarcoma.,Wuwu Zheng; Aihui Lu; Xiaoxiao Tang; Lixia Chen,10.1002/jum.70043,http://dx.doi.org/10.1002/jum.70043,no,
clinical signs and diagnosis of fibroids from adolescence to menopause.,Eduard Mension; Francisco Carmona; Silvia Vannuccini; Charles Chapron,10.1016/j.fertnstert.2024.05.003,http://dx.doi.org/10.1016/j.fertnstert.2024.05.003,no,
comparison and analysis of deep learning models for discriminating longitudinal and oblique vaginal septa based on ultrasound imaging.,Xiangyu Wang; Liang Wang; Xin Hou; Jingfang Li; Jin Li; Xiangyi Ma,10.1186/s12880-024-01507-x,http://dx.doi.org/10.1186/s12880-024-01507-x,,
critical advances for democratizing ultrasound diagnostics in human and veterinary medicine.,Ahmed El Kaffas; Jenny M Vo-Phamhi; John F Griffin; Kenneth Hoyt,10.1146/annurev-bioeng-110222-095229,http://dx.doi.org/10.1146/annurev-bioeng-110222-095229,,
deep learning algorithm for predicting preterm birth in the case of threatened preterm labor admissions using transvaginal ultrasound,"Ohtaka A, Akazawa M, Hashimoto K.",10.1007/s10396-023-01394-9,,no,
deep learning based junctional zone quantification using 3d transvaginal ultrasound in assisted reproduction,N. Singhal; S. Kudavelly; G. A. Ramaraju,10.1109/EMBC44109.2020.9175358,,no,not available
deep learning to diagnose pouch of douglas obliteration with ultrasound sliding sign,Gabriel Maicas; Mathew Leonardi; Jodie C Avery; Catrina Panuccio; Gustavo Carneiro; M. Louise Hull; George Condous,10.1530/raf-21-0031,http://dx.doi.org/10.1530/raf-21-0031,yes,
deep learning-based analysis of efficiency and surgical timing for patients with cervical insufficiency using transvaginal ultrasound images,Xuekui Ye; Li Zhang; Rongxia Liu; Yongjuan Liu; Guowei Jiang,10.1155/2022/4455353,http://dx.doi.org/10.1155/2022/4455353,no,
deep learning-based automated measurement of cervical length in transvaginal ultrasound images of pregnant women,H. Kwon; S. Sun; H. C. Cho; H. S. Yun; S. Park; Y. J. Jung; J. -Y. Kwon; J. K. Seo,10.1109/JBHI.2024.3433594,,no ,not available
deep learning-based automatic endometrium segmentation and thickness measurement for 2d transvaginal ultrasound,S. -Y. Hu; H. Xu; Q. Li; B. A. Telfer; L. J. Brattain; A. E. Samir,10.1109/EMBC.2019.8856367,,no,not available for free
deep learning-based automation for segmentation and biometric measurement of the gestational sac in ultrasound images.,Hafiz Muhammad Danish; Zobia Suhail; Faiza Farooq,10.3389/fped.2024.1453302,http://dx.doi.org/10.3389/fped.2024.1453302,,
"deep learning-based medical ultrasound image and video segmentation methods: overview, frontiers, and challenges.",Xiaolong Xiao; Jianfeng Zhang; Yuan Shao; Jialong Liu; Kaibing Shi; Chunlei He; Dexing Kong,10.3390/s25082361,http://dx.doi.org/10.3390/s25082361,,
deep learning-based three-dimensional transvaginal ultrasound in diagnosis of intrauterine adhesion,Ji Li; Dan Liu; Xiaofeng Qing; Lanlan Yu; Huizhen Xiang,10.1155/2021/2947021,http://dx.doi.org/10.1155/2021/2947021,yes,
developing clinical artificial intelligence for obstetric ultrasound to improve access in underserved regions: protocol for a computer-assisted low-cost point-of-care ultrasound (calopus) study.,Alice Self; Qingchao Chen; Bapu Koundinya Desiraju; Sumeet Dhariwal; Alexander D Gleed; Divyanshu Mishra; Ramachandran Thiruvengadam; Varun Chandramohan; Rachel Craik; Elizabeth Wilden; Ashok Khurana; null null; Shinjini Bhatnagar; Aris T Papageorghiou; J Alison Noble,10.2196/37374,http://dx.doi.org/10.2196/37374,,
development of a novel machine learning model for automatic assessment of quality of transvaginal ultrasound images from multi-annotator labels.,Alison Deslandes; Daniel Petashvili; Hu Wang; Gustavo Carnerio; Jodie Avery; George Condous; Mathew Leonardi; M Louise Hull; Hsiang-Ting Chen,10.1002/ajum.70026,http://dx.doi.org/10.1002/ajum.70026,yes,
diagnosis of idiopathic premature ovarian failure by color doppler ultrasound under the intelligent segmentation algorithm.,Lanlan Yu; Xiaofeng Qing,10.1155/2022/2645607,http://dx.doi.org/10.1155/2022/2645607,,
"early diagnosis of ovarian cancer: a comprehensive review of the advances, challenges, and future directions.",Mun-Kun Hong; Dah-Ching Ding,10.3390/diagnostics15040406,http://dx.doi.org/10.3390/diagnostics15040406,no,
early uterine cancer detection using ultrasound images by different machine learning techniques,S. Tekale; S. P. Kosbatwar; J. G. M. Britto; V. Chauhan; A. Dargar; A. Gupta,10.1109/GITCON65266.2025.11376852,,,
embc - deep learning based junctional zone quantification using 3d transvaginal ultrasound in assisted reproduction,Nitin Singhal; Srinivas Rao Kudavelly; G. A. Ramaraju,10.1109/embc44109.2020.9175358,http://dx.doi.org/10.1109/embc44109.2020.9175358,no,duplicate
endometrium segmentation on transvaginal ultrasound image using key-point discriminator.,Hyenok Park; Hong Joo Lee; Hak Gu Kim; Yong Man Ro; Dong-Kuk Shin; Ra Lee; Sunghoon Kim; Mikyung Kong,10.1002/mp.13677,http://dx.doi.org/10.1002/mp.13677,no,not available for free
evolving the era of 5d ultrasound? a systematic literature review on the applications for artificial intelligence ultrasound imaging in obstetrics and gynecology.,Elena Jost; Philipp Kosian; Jorge Jimenez Cruz; Shadi Albarqouni; Ulrich Gembruch; Brigitte Strizek; Florian Recker,10.3390/jcm12216833,http://dx.doi.org/10.3390/jcm12216833,,
from pretraining to privacy: federated ultrasound foundation model with self-supervised learning.,Yuncheng Jiang; Chun-Mei Feng; Jinke Ren; Jun Wei; Zixun Zhang; Yiwen Hu; Yunbi Liu; Rui Sun; Xuemei Tang; Juan Du; Xiang Wan; Yong Xu; Bo Du; Xin Gao; Guangyu Wang; Shaohua Zhou; Shuguang Cui; Zhen Li,10.1038/s41746-025-02085-0,http://dx.doi.org/10.1038/s41746-025-02085-0,,
gynescan: an improved online paradigm for screening of ovarian cancer via tissue characterization.,U. Rajendra Acharya; S. Vinitha Sree; Sanjeev Kulshreshtha; Filippo Molinari; Joel En Wei Koh; Luca Saba; Jasjit S. Suri,10.7785/tcrtexpress.2013.600273,http://dx.doi.org/10.7785/tcrtexpress.2013.600273,,
identification and validation of serum metabolite biomarkers for endometrial cancer diagnosis.,Wanshan Liu; Jinglan Ma; Juxiang Zhang; Jing Cao; Xiaoxiao Hu; Yida Huang; Ruimin Wang; Jiao Wu; Wen Di; Kun Qian; Xia Yin,10.1038/s44321-024-00033-1,http://dx.doi.org/10.1038/s44321-024-00033-1,,
imaging in gynecological cancers,Gülden Özek,10.37609/akya.3975.c2694,http://dx.doi.org/10.37609/akya.3975.c2694,no,
integrating deep learning and clinical characteristics for early prediction of endometrial cancer using multimodal ultrasound imaging: a multicenter study.,Cuiyan Lin; Wanming Chen; Jichuang Lai; Jieyi Huang; Xiaolu Ye; Sijia Chen; Xinmin Guo; Yichun Yang,10.3389/fonc.2025.1600242,http://dx.doi.org/10.3389/fonc.2025.1600242,,
intra- and interobserver agreement of proposed objective transvaginal ultrasound image-quality scoring system for use in artificial intelligence algorithm development.,A Deslandes; J C Avery; H-T Chen; M Leonardi; S Knox; G Lo; R O'Hara; G Condous; M L Hull; null null,10.1002/uog.29178,http://dx.doi.org/10.1002/uog.29178,no,
is ultrasound valuable for the diagnosis of women with abnormal detrusor activity,Pei-Fen Lo; Wen-Hsun Chang; Peng-Hui Wang,10.1097/jcma.0000000000000624,http://dx.doi.org/10.1097/jcma.0000000000000624,no,
machine learning and disease prediction in obstetrics.,Zara Arain; Stamatina Iliodromiti; Gregory Slabaugh; Anna L David; Tina T Chowdhury,10.1016/j.crphys.2023.100099,http://dx.doi.org/10.1016/j.crphys.2023.100099,,
machine learning methods for preterm birth prediction: a review,Tomasz Włodarczyk; Szymon Płotka; Tomasz Szczepański; Przemyslaw Stefan Rokita; Nicole Sochacki-Wójcicka; Jakub Wójcicki; Michal Lipa; Tomasz Trzcinski,10.3390/electronics10050586,http://dx.doi.org/10.3390/electronics10050586,no,
machine learning models in evaluating the malignancy risk of ovarian tumors: a comparative study.,Xin He; Xiang-Hui Bai; Hui Chen; Wei-Wei Feng,10.1186/s13048-024-01544-8,http://dx.doi.org/10.1186/s13048-024-01544-8,yes,
machine learning nomogram for predicting endometrial lesions after tamoxifen therapy in breast cancer patients.,Cao Shaoshan; Chen Niannian; Ma Ying,10.1038/s41598-024-82373-z,http://dx.doi.org/10.1038/s41598-024-82373-z,,
machine learning prediction of short cervix in mid-pregnancy based on multimodal data from the first-trimester screening period: an observational study in a high-risk population.,Shengyu Wu; Jiaqi Dong; Jifan Shi; Xiaoxian Qu; Yirong Bao; Xiaoyuan Mao; Mu Lv; Xuan Chen; Hao Ying,10.3390/biomedicines13092057,http://dx.doi.org/10.3390/biomedicines13092057,no,
mri-based radiomics as a promising noninvasive diagnostic technique for adenomyosis.,Laurin Burla; Elisabeth Sartoretti; Manoj Mannil; Stefan Seidel; Thomas Sartoretti; Harald Krentel; Rudy Leon De Wilde; Patrick Imesch,10.3390/jcm13082344,http://dx.doi.org/10.3390/jcm13082344,,
multi-modal uterine-activity measurements for prediction of embryo implantation by machine learning,F. Sammali; C. Blank; T. G. H. Bakkes; Y. Huang; C. Rabotti; B. C. Schoot; M. Mischi,10.1109/ACCESS.2021.3067716,,no,
multi-modal uterine-activity measurements for prediction of embryo implantation by machine learning,F. Sammali; C. Blank; Tom G. H. Bakkes; Y. Huang; Chiara Rabotti; Benedictus C. Schoot; Massimo Mischi,10.1109/access.2021.3067716,http://dx.doi.org/10.1109/access.2021.3067716,no,
obstetric ultrasound: where are we and where are we going?,Jacques S. Abramowicz,10.14366/usg.20088,http://dx.doi.org/10.14366/usg.20088,,
op10.10: time interval analysis of flow velocity waveforms of ductus venosus in fetal growth restriction in correlation with ph of umbilical artery,N. Seo; Daisuke Tachibana; Yasushi Kurihara; N.W. Yokoi; T. Suekane; Masayasu Koyama; Takuya Misugi; Akihiro Hamuro; K. Nakagawa; Akemi Nakano,10.1002/uog.20749,http://dx.doi.org/10.1002/uog.20749,,
optimizing evaluation of endometrial receptivity in recurrent pregnancy loss: a preliminary investigation integrating radiomics from multimodal ultrasound via machine learning.,Shanling Yan; Fei Xiong; Yanfen Xin; Zhuyu Zhou; Wanqing Liu,10.3389/fendo.2024.1380829,http://dx.doi.org/10.3389/fendo.2024.1380829,no,
perspectives in transvaginal sonography for the diagnosis of adenomyosis.,Xiao-Ling An; Jun Zhang; Xiao-Chun Yun; Xiao-Hui Lei; Jing Zhao; Xiao-Hua Yang; Mei-Mei Liu,10.3389/fmed.2025.1533648,http://dx.doi.org/10.3389/fmed.2025.1533648,,
